"id","type","name","description","notes","modified","created_by_id"
1,1,"Unknown","","","2022-07-11 18:39:55.038146+00",1
2,2,"Note","Generic Note","","2022-07-11 19:00:39.678518+00",1
3,3,"Call","Generic Call","","2022-07-11 19:01:01.501549+00",1
4,4,"Email","Generic Email","","2022-07-11 19:01:18.518423+00",1
5,5,"SMS","Generic SMS","","2022-07-11 19:01:37.407569+00",1
6,6,"Document","Generic Document","","2022-07-11 19:01:54.835713+00",1
7,7,"Other","Other.  Not sure this is necessary???","","2022-07-11 19:02:28.259674+00",1
8,8,"Voicemail","generic voicemail","","2022-07-12 20:25:11.578412+00",1
9,9,"Dictation","generic dictation","","2022-07-12 20:25:40.061051+00",1
10,3,"Call with client","","","2022-07-13 15:13:48.228514+00",1
11,3,"Call with FO","","","2022-07-13 15:14:13.628026+00",1
12,3,"Call with OHO","","","2022-07-13 15:14:39.119136+00",1
