id,type,slug,display_name,ssa_site_code,ssa_office_name,region,ssa_last_updated,address1,address2,city,state,zipcode,tel_public,tel_call_back,fax,modified
1,2,portland-me-fo,Portland ME FO,1,PORTLAND ME,NULL,10/1/2020,1355 Congress St,Floor 2,Portland,ME,4102,18773193076,NULL,18339503575,2020-12-19 16:07:54.314+00
2,2,bangor-me-fo,Bangor ME FO,2,BANGOR ME,NULL,10/1/2020,202 Harlow St,Room 10307,Bangor,ME,4401,18774051448,NULL,18339503577,2020-12-19 16:07:37.879+00
3,2,augusta-me-fo,Augusta ME FO,3,AUGUSTA ME,NULL,10/1/2020,330 Civic Center Dr,Suite 4,Augusta,ME,4330,18668825422,NULL,18339503579,2020-12-19 16:07:37.683+00
4,2,auburn-me-fo,Auburn ME FO,4,AUBURN ME,NULL,10/1/2020,600 Turner Street,Suite 5,Auburn,ME,4210,18333886432,NULL,18339503581,2020-12-19 16:07:37.654+00
5,2,presque-isle-me-fo,Presque Isle ME FO,5,PRESQUE ISLE ME,NULL,10/1/2020,365 Main St,,Presque Isle,ME,4769,18668372719,NULL,18339503583,2020-12-19 16:07:54.791+00
6,2,rockland-me-fo,Rockland ME FO,6,ROCKLAND ME,NULL,10/1/2020,169 Camden St,,Rockland,ME,4841,18552699179,NULL,18339503585,2020-12-19 16:07:55.396+00
7,2,meadville-pa-fo,Meadville PA FO,7,MEADVILLE PA,NULL,10/1/2020,19063 Park Ave Plaza,,Meadville,PA,16335,18883479276,NULL,NULL,2020-12-19 16:07:49.366+00
8,2,phila-south-pa-fo,Phila South PA FO,9,PHILA SOUTH PA,NULL,10/1/2020,3336 S Broad Street,Stadium Plaza,Philadelphia,PA,19145,18775755191,NULL,NULL,2020-12-19 16:07:53.513+00
9,2,concord-nh-fo,Concord NH FO,10,CONCORD NH,NULL,10/1/2020,70 Commercial St,Ste 100,Concord,NH,3301,18883979798,NULL,18339503857,2020-12-19 16:07:40.656+00
10,2,portsmouth-nh-fo,Portsmouth NH FO,11,PORTSMOUTH NH,NULL,10/1/2020,80 Daniel St,Room 210A,Portsmouth,NH,3801,18883979796,NULL,18339503589,2020-12-19 16:07:54.485+00
11,2,manchester-nh-fo,Manchester NH FO,12,MANCHESTER NH,NULL,10/1/2020,1100 Elm St,Suite 201,Manchester,NH,3101,18668145408,NULL,18335153591,2020-12-19 16:07:48.949+00
12,2,littleton-nh-fo,Littleton NH FO,13,LITTLETON NH,NULL,10/1/2020,177 Main St,,Littleton,NH,3561,18774057658,NULL,18335150445,2020-12-19 16:07:48.122+00
13,2,nashua-nh-fo,Nashua NH FO,14,NASHUA NH,NULL,10/1/2020,175 Amherst St,Suite 2,Nashua,NH,3064,18774440134,NULL,18335150461,2020-12-19 16:07:50.39+00
14,2,keene-nh-fo,Keene NH FO,15,KEENE NH,NULL,10/1/2020,9 Elm Street,,Keene,NH,3431,18774053651,NULL,18335150449,2020-12-19 16:07:46.757+00
15,2,balto-ne-md-fo,Balto Ne MD FO,19,BALTO NE MD,NULL,10/1/2020,2401 Belair Rd,Ste 106,Baltimore,MD,21213,18663369653,NULL,NULL,2020-12-19 16:07:37.845+00
16,2,balto-west-md-fo,Balto West MD FO,20,BALTO WEST MD,NULL,10/1/2020,1531 S Edgewood Street,Suite S,Baltimore,MD,21227,18778706381,NULL,NULL,2020-12-19 16:07:37.869+00
17,2,burlington-vt-fo,Burlington VT FO,22,BURLINGTON VT,NULL,10/1/2020,128 Lakeside Ave,Suite 107,Burlington,VT,5401,18778405776,NULL,18335150451,2020-12-19 16:07:38.854+00
18,2,rutland-vt-fo,Rutland VT FO,23,RUTLAND VT,NULL,10/1/2020,246 West St,,Rutland,VT,5701,18666901944,NULL,18335150453,2020-12-19 16:07:55.528+00
19,2,montpelier-vt-fo,Montpelier VT FO,24,MONTPELIER VT,NULL,10/1/2020,33 School St,,Montpelier,VT,5602,18775054542,NULL,18335150455,2020-12-19 16:07:50.141+00
20,2,pago-pago-am-samoa-fo,Pago Pago Am Samoa FO,25,PAGO PAGO AM SAMOA,NULL,10/1/2020,3Rd Flr Suite 302,Centennial Building,Pago Pago,AS,96799,18556025033,NULL,NULL,2020-12-19 16:07:52.601+00
21,2,crenshaw-ca-fo,Crenshaw CA FO,26,CRENSHAW CA,NULL,10/1/2020,3840 Crenshaw Blvd,,Los Angeles,CA,90008,18775314693,NULL,NULL,2020-12-19 16:07:40.939+00
22,2,san-fernando-ca-fo,San Fernando CA FO,27,SAN FERNANDO CA,NULL,10/1/2020,456 S F Mission Blvd,,San Fernando,CA,91340,18883831599,NULL,NULL,2020-12-19 16:07:55.768+00
23,2,east-oakland-ca-fo,East Oakland CA FO,28,EAST OAKLAND CA,NULL,10/1/2020,7200 Bancroft Avenue,Eastmont Town Center,Oakland,CA,94605,18885279329,NULL,NULL,2020-12-19 16:07:41.948+00
24,2,boston-ma-fo,Boston MA FO,30,BOSTON MA,NULL,10/1/2020,10 Causeway Street,Room 148,Boston,MA,2222,18669647311,NULL,18335150457,2020-12-19 16:07:38.408+00
25,2,springfield-ma-fo,Springfield MA FO,31,SPRINGFIELD MA,NULL,10/1/2020,70 Bond Street,,Springfield,MA,1104,18669645061,NULL,18335150459,2020-12-19 16:07:56.667+00
27,2,roxbury-ma-fo,Roxbury MA FO,33,ROXBURY MA,NULL,10/1/2020,10 Malcolm X Blvd,,Roxbury,MA,2119,18552784195,NULL,18335150463,2020-12-19 16:07:55.502+00
28,2,lynn-ma-fo,Lynn MA FO,34,LYNN MA,NULL,10/1/2020,140 Union Street,,Lynn,MA,1901,18663667792,NULL,18339022508,2020-12-19 16:07:48.656+00
29,2,lowell-ma-fo,Lowell MA FO,35,LOWELL MA,NULL,10/1/2020,151 Warren St,Ste 300,Lowell,MA,1852,18777469850,NULL,18339022510,2020-12-19 16:07:48.562+00
30,2,worcester-ma-fo,Worcester MA FO,36,WORCESTER MA,NULL,10/1/2020,51 Myrtle St,Madison Place,Worcester,MA,1608,18663319069,NULL,18339022512,2020-12-19 16:07:58.376+00
31,2,pittsfield-ma-fo,Pittsfield MA FO,37,PITTSFIELD MA,NULL,10/1/2020,78 Center St,Federal Bldg Suite 101,Pittsfield,MA,1201,18664467111,NULL,18339022514,2020-12-19 16:07:54.002+00
32,2,new-bedford-ma-fo,New Bedford MA FO,38,NEW BEDFORD MA,NULL,10/1/2020,53 North 6Th Street,Hastings Keith Fed Bld,New Bedford,MA,2740,18669647413,NULL,18339022516,2020-12-19 16:07:50.472+00
33,2,brockton-ma-fo,Brockton MA FO,39,BROCKTON MA,NULL,10/1/2020,30 Christy Dr,,Brockton,MA,2301,18887171524,NULL,18339022518,2020-12-19 16:07:38.63+00
34,2,fitchburg-ma-fo,Fitchburg MA FO,40,FITCHBURG MA,NULL,10/1/2020,881 Main St 1St Floor,Philbin Fed Bldg,Fitchburg,MA,1420,18773190728,NULL,18339022520,2020-12-19 16:07:42.967+00
35,2,lawrence-ma-fo,Lawrence MA FO,41,LAWRENCE MA,NULL,10/1/2020,439 S Union St,Suite 106A,Lawrence,MA,1843,18776693127,NULL,18339022522,2020-12-19 16:07:47.652+00
36,2,fall-river-ma-fo,Fall River MA FO,42,FALL RIVER MA,NULL,10/1/2020,400 North Main Street,,Fall River,MA,2720,18669643967,NULL,18339022524,2020-12-19 16:07:42.787+00
37,2,holyoke-ma-fo,Holyoke MA FO,44,HOLYOKE MA,NULL,10/1/2020,200 High Street,2Nd Floor,Holyoke,MA,1040,18774804989,NULL,18339022526,2020-12-19 16:07:45.418+00
38,2,malden-ma-fo,Malden MA FO,45,MALDEN MA,NULL,10/1/2020,192 Commercial St,,Malden,MA,2148,18665968598,NULL,18339261839,2020-12-19 16:07:48.811+00
39,2,salem-ma-fo,Salem MA FO,46,SALEM MA,NULL,10/1/2020,35 Congress St,Suite 101,Salem,MA,1970,18662482394,NULL,18339261841,2020-12-19 16:07:55.584+00
40,2,quincy-ma-fo,Quincy MA FO,47,QUINCY MA,NULL,10/1/2020,1515 Hancock St,Suite 305,Quincy,MA,2169,18665934392,NULL,18339261843,2020-12-19 16:07:54.933+00
41,2,dorchester-ma-fo,Dorchester MA FO,48,DORCHESTER MA,NULL,10/1/2020,115 Freeport St,,Dorchester,MA,2122,18669312550,NULL,18339261845,2020-12-19 16:07:41.671+00
42,2,attleboro-ma-fo,Attleboro MA FO,49,ATTLEBORO MA,NULL,10/1/2020,106 Pleasant St,,Attleboro,MA,2703,18886556469,NULL,18339261854,2020-12-19 16:07:37.617+00
43,2,haverhill-ma-fo,Haverhill MA FO,50,HAVERHILL MA,NULL,10/1/2020,367 Main St,,Haverhill,MA,1830,18669644324,NULL,18339261856,2020-12-19 16:07:44.6+00
44,2,waltham-ma-fo,Waltham MA FO,51,WALTHAM MA,NULL,10/1/2020,135 Beaver Street,Suite 120,Waltham,MA,2452,18774571737,NULL,18338734342,2020-12-19 16:07:57.802+00
45,2,norwood-ma-fo,Norwood MA FO,52,NORWOOD MA,NULL,10/1/2020,One Edgewater Drive,Suite 102,Norwood,MA,2062,18665639533,NULL,18339261860,2020-12-19 16:07:50.929+00
46,2,framingham-ma-fo,Framingham MA FO,53,FRAMINGHAM MA,NULL,10/1/2020,One Clarks Hill,Suite 101,Framingham,MA,1702,18445871390,NULL,18339261862,2020-12-19 16:07:43.353+00
47,2,hyannis-ma-fo,Hyannis MA FO,54,HYANNIS MA,NULL,10/1/2020,Suite 4,100 Independence Drive,Hyannis,MA,2601,18664670440,NULL,18339261864,2020-12-19 16:07:45.696+00
48,2,roslindale-ma-fo,Roslindale MA FO,56,ROSLINDALE MA,NULL,10/1/2020,4238 Washington St,,Roslindale,MA,2131,18663319173,NULL,18339502342,2020-12-19 16:07:55.47+00
49,2,taunton-ma-fo,Taunton MA FO,57,TAUNTON MA,NULL,10/1/2020,104 Dean St,,Taunton,MA,2780,18775054546,NULL,18339502344,2020-12-19 16:07:57.2+00
50,2,lancaster-ca-fo,Lancaster CA FO,59,LANCASTER CA,NULL,10/1/2020,Ste A,42225 10Th St W,Lancaster,CA,93534,18669641725,NULL,NULL,2020-12-19 16:07:47.358+00
